7.98,30.5,20.2,33.91,43.42,3.9,155.75,35.04,512.8,161.3,36.27,1
8.06,29.98,21.77,31.53,45.95,11,151.88,36.3,533.6,168.64,41.95,1
8.2,50.51,22.63,25.1,46.39,9.21,148.82,41.6,530.3,170.8,41.05,1
8.21,38.75,14.92,17.11,47.1,7.89,142.2,42.93,543.8,157.41,36.57,1
8.75,37.9,16.82,35.38,48.91,10,153.03,45.67,590.8,158.34,42.07,1
8.04,39.74,15.58,32.58,51.74,8.06,147.8,51.86,580.3,146.21,38.99,1
8.77,53.43,16.71,28.18,50.67,7.86,133.89,20.24,555,139.94,38.25,1
8.23,42.01,13.59,23.76,47.42,8.61,142.95,46.46,494.4,115.92,36.43,1
8.5,50,14,25,50,11,115,44,509.6,119,38.02,1
8.59,60.61,13.94,26.74,39.5,5.48,113.59,40.28,457.5,124.8,34.05,1
8.18,42.5,14.96,28.81,43.41,7.06,190.38,42.92,481.2,134.22,38.55,1
